Timestamp,Temperature,SoilMoisture,Humidity,Rainfall,LightIntensity,Source
2026-09-11 10:00:00,31.4,34.9,55.7,0.0,734,Farm
2026-09-11 11:00:00,30.8,33.5,56.3,0.0,771,Farm
2026-09-11 12:00:00,37.5,27.3,49.4,0.0,839,Farm
2026-09-11 13:00:00,33.5,29.4,57.5,0.0,809,Farm
2026-09-11 14:00:00,33.2,43.2,62.7,0.0,735,Farm
2026-09-11 15:00:00,31.6,40.2,61.0,0.0,598,Farm
2026-09-11 16:00:00,31.1,39.9,58.7,0.0,474,Farm
2026-09-11 17:00:00,30.0,43.4,64.4,0.0,193,Farm
2026-09-11 18:00:00,29.8,43.1,68.3,0.0,420,Farm
2026-09-11 19:00:00,27.0,39.6,70.7,0.0,33,Farm
2026-09-11 20:00:00,25.4,39.7,75.7,0.0,0,Farm
2026-09-11 21:00:00,24.9,39.2,75.8,0.0,47,Farm
2026-09-11 22:00:00,22.3,39.0,78.6,0.0,68,Farm
2026-09-11 23:00:00,21.2,37.4,79.0,0.0,0,Farm
2026-09-12 06:00:00,27.5,68.0,67.0,5.2,120,AgriMonitor_A
2026-09-12 06:00:00,29.0,57.0,70.0,4.5,160,AgriMonitor_B
2026-09-12 06:00:00,32.0,45.0,72.0,1.0,180,AgriMonitor_C
2026-09-12 07:00:00,27.7,68.2,68.0,5.6,555,AgriMonitor_A
2026-09-12 07:00:00,29.2,56.4,69.7,4.5,640,AgriMonitor_B
2026-09-12 07:00:00,32.3,43.9,72.7,1.0,815,AgriMonitor_C
2026-09-12 08:00:00,27.9,68.4,69.0,5.2,590,AgriMonitor_A
2026-09-12 08:00:00,29.4,55.7,69.3,4.5,680,AgriMonitor_B
2026-09-12 08:00:00,32.6,42.7,73.3,1.0,870,AgriMonitor_C
2026-09-12 09:00:00,27.5,68.5,62.0,5.6,625,AgriMonitor_A
2026-09-12 09:00:00,29.5,55.0,69.0,4.5,720,AgriMonitor_B
2026-09-12 09:00:00,32.8,41.5,74.0,1.0,925,AgriMonitor_C
2026-09-12 10:00:00,30.2,67.5,63.0,5.2,660,AgriMonitor_A
2026-09-12 10:00:00,29.7,54.4,68.6,4.5,600,AgriMonitor_B
2026-09-12 10:00:00,33.1,40.4,74.6,1.0,980,AgriMonitor_C
2026-09-12 11:00:00,30.4,67.7,64.0,5.6,520,AgriMonitor_A
2026-09-12 11:00:00,32.1,53.8,68.2,3.0,640,AgriMonitor_B
2026-09-12 11:00:00,35.9,39.2,75.2,0.0,760,AgriMonitor_C
2026-09-12 12:00:00,30.0,67.9,62.0,5.2,555,AgriMonitor_A
2026-09-12 12:00:00,32.3,53.1,67.9,3.0,680,AgriMonitor_B
2026-09-12 12:00:00,36.2,38.1,75.9,0.0,815,AgriMonitor_C
2026-09-12 13:00:00,30.2,68.1,63.0,5.8,590,AgriMonitor_A
2026-09-12 13:00:00,32.5,52.5,67.5,2.9,720,AgriMonitor_B
2026-09-12 13:00:00,36.5,37.0,76.5,0.0,870,AgriMonitor_C
2026-09-12 14:00:00,30.4,67.0,64.0,5.8,625,AgriMonitor_A
2026-09-12 14:00:00,32.6,51.8,67.2,2.8,600,AgriMonitor_B
2026-09-12 14:00:00,36.7,35.8,77.2,0.0,925,AgriMonitor_C
2026-09-12 15:00:00,30.0,67.2,62.0,5.6,660,AgriMonitor_A
2026-09-12 15:00:00,32.8,51.1,66.8,2.8,640,AgriMonitor_B
2026-09-12 15:00:00,37.0,34.6,77.8,0.0,980,AgriMonitor_C
2026-09-12 16:00:00,27.7,67.4,63.0,5.2,520,AgriMonitor_A
2026-09-12 16:00:00,33.0,50.5,66.5,2.7,680,AgriMonitor_B
2026-09-12 16:00:00,37.3,33.5,78.5,0.0,760,AgriMonitor_C
2026-09-12 17:00:00,27.9,67.6,64.0,5.6,555,AgriMonitor_A
2026-09-12 17:00:00,31.0,49.9,66.2,2.6,720,AgriMonitor_B
2026-09-12 17:00:00,35.1,32.4,79.2,0.0,815,AgriMonitor_C
2026-09-12 18:00:00,27.5,66.6,62.0,5.2,590,AgriMonitor_A
2026-09-12 18:00:00,31.2,49.2,65.8,2.6,600,AgriMonitor_B
2026-09-12 18:00:00,35.4,31.2,79.8,0.0,870,AgriMonitor_C
2026-09-12 19:00:00,27.7,66.7,68.0,5.6,120,AgriMonitor_A
2026-09-12 19:00:00,31.3,48.5,65.5,2.5,160,AgriMonitor_B
2026-09-12 19:00:00,35.6,30.1,80.5,0.0,180,AgriMonitor_C
2026-09-12 20:00:00,27.9,66.9,69.0,5.2,120,AgriMonitor_A
2026-09-12 20:00:00,31.5,47.9,65.1,2.4,160,AgriMonitor_B
2026-09-12 20:00:00,35.9,28.9,81.1,0.0,180,AgriMonitor_C
2026-09-12 21:00:00,27.5,67.1,67.0,5.6,120,AgriMonitor_A
2026-09-12 21:00:00,31.7,47.2,64.8,2.3,160,AgriMonitor_B
2026-09-12 21:00:00,36.2,27.8,81.8,0.0,1120,AgriMonitor_C
2026-09-12 22:00:00,27.7,66.1,68.0,5.2,120,AgriMonitor_A
2026-09-12 22:00:00,31.9,46.6,64.4,2.3,160,AgriMonitor_B
2026-09-12 22:00:00,36.5,26.6,82.4,0.0,1120,AgriMonitor_C
2026-09-12 23:00:00,27.9,66.3,69.0,5.6,120,AgriMonitor_A
2026-09-12 23:00:00,32.1,46.0,64.0,2.2,160,AgriMonitor_B
2026-09-12 23:00:00,36.8,25.5,83.0,0.0,180,AgriMonitor_C
2026-09-13 00:00:00,27.5,66.4,67.0,5.2,120,AgriMonitor_A
2026-09-13 00:00:00,32.2,45.3,63.7,2.1,160,AgriMonitor_B
2026-09-13 00:00:00,37.0,24.3,83.7,0.0,180,AgriMonitor_C
2026-09-13 01:00:00,27.7,66.6,68.0,5.6,120,AgriMonitor_A
2026-09-13 01:00:00,32.4,44.6,63.4,2.1,160,AgriMonitor_B
2026-09-13 01:00:00,37.3,23.2,84.3,0.0,180,AgriMonitor_C
2026-09-13 02:00:00,27.9,65.6,69.0,5.2,120,AgriMonitor_A
2026-09-13 02:00:00,32.6,44.0,63.0,2.0,160,AgriMonitor_B
2026-09-13 02:00:00,37.6,22.0,85.0,0.0,180,AgriMonitor_C
2026-09-13 03:00:00,27.5,65.8,67.0,5.6,120,AgriMonitor_A
2026-09-13 03:00:00,32.8,43.4,62.6,1.9,160,AgriMonitor_B
2026-09-13 03:00:00,37.9,20.9,85.7,0.0,180,AgriMonitor_C
2026-09-13 04:00:00,27.7,66.0,68.0,5.2,120,AgriMonitor_A
2026-09-13 04:00:00,33.0,42.7,62.3,1.9,160,AgriMonitor_B
2026-09-13 04:00:00,38.2,19.7,86.3,0.0,180,AgriMonitor_C
2026-09-13 05:00:00,29.0,65.0,60.0,6.0,650,AgriMonitor_A
2026-09-13 05:00:00,34.0,42.0,72.0,2.0,720,AgriMonitor_B
2026-09-13 05:00:00,40.0,18.0,88.0,0.0,1000,AgriMonitor_C
